Job Title,Company,Location,Salary,Summary
Data Science (Jupyter/Azure ML/MatLab),Accenture,"Mumbai, Maharashtra",,"Must Have Skills :Data Science (Jupyter/Azure ML/MatLab). Processing, cleansing, and verifying the integrity of data used for analysis."
Data Science Internship,Netcore Solutions,"Mumbai, Maharashtra","₹15,000 a month","Netcore offers solutions for enterprise communication & digital marketing. Enterprise communication suite includes on-premise & on-cloud messaging, archiving…"
Data Science and Analytics_4 to 6 Years_Pune,Capgemini,"Pune, Maharashtra",,4 Statistical data collection Data Analysis with excellent knowledge of Microsoft Office. 1 Data Science with Python skills who has hands on experience in…
Data Science Internship,GetClarity Fintech Services,"Mumbai, Maharashtra","₹10,000 - ₹20,000 a month","Analyze volumes of data and create dashboards/visualizations 4. Data analytics with statistical tools (regression, forecasting, etc.), machine learning,…"
Data Science- Counselor cum faculty,Pace Career Academy,"Vashi, Navi Mumbai, Maharashtra","₹2,50,000 - ₹4,50,000 a year","Candidate will be responsible for counseling of students for Data science, Machine learning , Artificial intelligence courses courses. Sc or M Sc ( stats)."
Data Science Internship,Quantech Capital,"Mumbai, Maharashtra","₹10,000 - ₹20,000 a month","Assist senior data scientist There will be a chance to be exposed to AWS cloud computing. QuantTech Capital lies at the confluence of technology-driven,…"
Data Science,Capgemini,"Bengaluru, Karnataka",,We are looking for Data Science professionals. Understanding of statistical concepts and algorithms Ability to understand and analyze different types of data…
Data Science Intern,Sankhkyiki Robotics,"Navi Mumbai, Maharashtra",,"Data science, big data, analytics, statistics. Work on different exercises on data science and machine learning algorithms."
Data Scientist,RedLotus,"Mumbai, Maharashtra",,Presenting information using data visualization techniques. Undertake preprocessing of structured and unstructured data.
Data Science Internship,Course 5 Intelligence,"Mumbai, Maharashtra","₹10,000 - ₹15,000 a month","Analyzing data to identify patterns/observations and provide actionable insights and recommendations 4. Founded in 2000, our business areas include market…"
Data Science part time job/internship at Pune,Medialytics,"Pune, Maharashtra","₹6,000 - ₹12,000 a month","Work with unstructured data using NLP models 5.Use supervised/unsupervised like linear regression, logistic regression, clustering and black box models like…"
Data Science Internship,Markytics,"Mumbai, Maharashtra","₹5,000 a month","Markytics provides a specialized, high-quality education and prepares students for professional positions.We at Markytics, through up-to-the-minute R&D, take a…"
Data Science Engineer,Experion Technologies,"Kochi, Kerala",,"Experience with data replication, synchronization, and data provisioning.Understanding on the principles of data lake and data mart."
Data Science Intern,Tranzmeo IT Solutions Private Limited,"Kochi, Kerala",,"Join us for a great opportunity to learn and develop your skills, and be a part of our Tranzmeo Data Science Team.Only those candidates can apply who:"
Data Science Internship,TheOther 2 Third Consulting LLP,"Mumbai, Maharashtra","₹10,000 a month",Conducting data analysis of engagement survey and competency assessment projects 2.TheOther 2 Thirds Consulting LLP has been formed by a group of consultants…
Jr. Data Science/ ML Engineer,Mstack Innovation Labs,"Kochi, Kerala",,"Must have knowledge/experience in building end-to-end machine learning pipeline from data exploration, feature engineering, model building, performance…"
Data Science Trainer,Emerging India Group,India,,"Experience in developing Hadoop integrations for data ingestion, data mapping and data processing capabilities."
Data Scientist,Indus OS,"Mumbai, Maharashtra",,Experience of working with Data Science tools like:Strong knowledge of basics of data science incl computer science from basic Linear Regression to various…
Data Science Analyst,Capgemini,"Bengaluru, Karnataka",,"We are looking for Data Science Analyst- Bangalore.Data mining using state-of-the-art methods, primarily using a mix of text and numeric data • Enhancing data…"
Chief Data Science officer,RedLotus,"Mumbai, Maharashtra",,"Responsible for areas such as data quality, data governance, master data management, information strategy, data science, and business analytics."
Data Science Intern,Pragathi Technologies,"Bengaluru, Karnataka","₹18,000 a month",In-depth knowledge on Data Science and Data Structure. Clear concept of Data Science and its Syllabus. Looking for the Below Position :
Data Science Associate,ZS Associates,"Bengaluru, Karnataka",,"Data Science Associates (DSAs) design, develop and execute high-impact analytics solutions for large, complex, structured and unstructured data sets (including…"
Data Science Interns,SiCureMi Healthcare Technologies,"Delhi, Delhi",,"We are looking for competent Data Science Interns, who have desire to work on the live data science projects. It will be an unpaid full time 2 months internship…"
Data Science Internship,Gfactors,"Bengaluru, Karnataka","₹12,500 a month",Gfactors is in the business of providing education & training services including foreign language services to corporates and educational institutions.
Python for Data Science-Developer,Wipro LTD,"Mumbai, Maharashtra",,"Python for Data Science-L1 (Mandatory). Python for Data Science-L1 Statistical Analysis-L3, Statistical Modeling-L3, Business Analytics, Business Analysis-L1,…"
Data Science Engineer,APPICON IT PVT LTD/LEARNITY,"Gachibowli, Hyderabad, Telangana",,"LOOKING FOR FRESH GRADUATES , WHO ARE WILLING TO JOIN IMMEDIATELY FOR FULL TIME POSITIIN IN APPICON IT PVT LTD GACHIBOWLI. INTERESTED PLEASE REACH @ 8897025777."
Data Science Manager,ZS Associates,"Pune, Maharashtra",,"Data Science Manager- Pune, India. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various…"
Data Assistant (Clinical Research),"Medpace, Inc.","Mumbai, Maharashtra",,"Assist with support activities for the Data Management department. Clean the clinical database, which includes generating and resolving data clarifications."
Data Entry Operator,All India Institute of Medical Sciences (AIIMS),"New Delhi, Delhi",,Company:All India Institute of Medical Sciences (AIIMS). All India Institute of Medical Sciences (AIIMS). Graduate from a recognized university or institute.
Research Analyst/Data Analyst,Strategy Analysys,"Katraj, Pune, Maharashtra","₹8,000 - ₹10,000 a month","Interpret data, formulate reports and make recommendations. Working knowledge of data modelling and mining. Evaluate program methodology and key data to ensure…"
Artificial Intelligence / Data Science/ Machine Learning,TATA ELXSI LTD.,India,"₹3,50,000 - ₹5,00,000 a year",Is conducting off campus drive across India for BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc. BE/B.Tech ( All Streams)/M.E/M.Tech (All Streams)/Msc.
Part time / Full time trainer for Data Science,Pragathi Technologies,"Bengaluru, Karnataka","₹18,000 a year",Should have experienced in the Data science or At least certified to teach the Technology. We are looking for part time / Full time trainers in around BTM…
Data Science,lemark institute of art,"Mumbai, Maharashtra",,DataRobot is based around delivering best-in-class data science solutions and this position provides the opportunity to develop key components of our platform.
Analytical Chemist for XPS / ESCA,Perfomax Analytical,"Mumbai, Maharashtra","₹30,000 - ₹35,000 a month",Candidate should be at least MSc in Physics/Chemistry/Material Science background. Candidate will be provided application training by Kratos application expert…
Data Scientist (Research Associate),University of Hull,"Organisation, Delhi","₹32,817 - ₹40,322 a year","You will be a postdoctoral scientist with demonstrable skills in data science. Imaging, multiparameter cytometry, transcriptomics) and in developing tools for…"
Fresher openings in Clinical Data Management,IQVIA Pvt Ltd,"Mumbai, Maharashtra",,"IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients."
Data Scientist,Vahanalytics,"Mumbai, Maharashtra","₹6,00,000 - ₹9,00,000 a year","We are looking for a Data Scientist co-founder, to help transition from a consumer facing transportation solution to a data science based technology solution…"
Manager - Data Science,TATA Capital,"Lower Parel, Mumbai, Maharashtra",,"Use of external data including Bureau Analytics. Big Data and Social Media analytics for Risk Management. SAS, R, Python, Knowledge Seeker."
Data & Applied Scientist II,Microsoft,"Bengaluru, Karnataka",,"Technical aptitude, programming, reporting/data visualization and data science skills are necessary in this role. Microsoft is an equal opportunity employer."
DATA SCIENTIST,CBL Solutions,"Tirupati, Andhra Pradesh","₹20,000 - ₹30,000 a month",We are providing product related training on Data Science for our Client requirements. We are in to Software Development and Training for Data Science/Data…
Data Scientist (Data Science),BOEING,,,Develop data visualization technique and implement data dashboards to enable interpretable representation of raw data as well as results of analysis.
Data & Applied Scientist II,Microsoft,"Bengaluru, Karnataka",,"Technical aptitude, programming, reporting/data visualization and data science skills are necessary in this role. Microsoft is an equal opportunity employer."
"Consultant, Data Science",DELL,"Bengaluru, Karnataka",,Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. If you share our passion for data and you’re keen to…
Associate Manager – Data Science,Absolutdata,"Gurgaon, Haryana",,"Exposure to implementing data science solutions in production environments –. Be it large amounts of data (Volume), fast changing or streaming data (Velocity)…"
Data Scientist,Morningstar,"Mumbai, Maharashtra",,Ability to storyboard/visualize data using Tableau/ Python/ R. Experience working as a full stack Data Scientist experimenting & deploying projects.
Data Scientist,City Year,"More, Maharashtra",,"Creative problem solving involving quantitative data analysis and developing scalable products/solution s. In this role, you will build quantitative models from…"
Data Science,Web Synergies,India,,"Working experience with R and/or Python, SQL, ETL concepts, Data Governance and Big Data frameworks such as Hadoop, SPARK, etc."
Data Analytics Internship,Prashaste Education And Management Consultancy Pri...,"Mumbai, Maharashtra","₹5,000 - ₹10,000 a month","Handling large data and creating dashboards 3. Extracting and mining raw data from the source. Prashaste Group was founded with a vision to educate, enable, and…"
Data Science Internship,Empathy Design Labs Private Limited,"Bengaluru, Karnataka","₹10,000 a month","Data Science,Internet of Things (IoT),Software Development,Electronics,Engineering,Computer Science. Develop analytics to invent compelling data products in our…"
Data Science-Developer,Wipro Limited,"Bengaluru, Karnataka",,"Data Science-L1, Python for Data Science-L1. Key skills required for the job are: N Machine Learning-L2,Python Scripting-L2, (Mandatory) and SQL Server T-SQL…"
Data Scientist,Xpheno,"Mumbai, Maharashtra",,"Identify, integrate and enrich data based on data partnerships. Extract data using advanced computer science and statistical tools like SQL, Python, R."
Data Scientist (Data Science),BOEING,,,Develop data visualization technique and implement data dashboards to enable interpretable representation of raw data as well as results of analysis.
Data Scientist TV Media,Procter & Gamble,,,"Evaluate available data sources including data from industry tools, panels and internal systems, and propose strategic acquisition or crafting of new data…"
Data Science modelers,Infosys,,,"Role Designation- Lead Analyst - Data Science. Formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and…"
Data Scientist (Data Science),BOEING,,,Develop data visualization technique and implement data dashboards to enable interpretable representation of raw data as well as results of analysis.
Data Science Analyst,Great Learning,"Gurgaon, Haryana",,"Data modeling and data analytics using tools like Tableau, R and Python to understand and predict student behavior / engagement."
Data Analytics Internship,LalaService,"Pune, Maharashtra","₹10,000 - ₹20,000 a month","LALAService, an e-service platform for automobiles covering a wide network of service stations, providing end-to-end automotive services."
Product Manager- Data Science,Squad,"Delhi, Delhi","₹16,00,000 - ₹22,00,000 a year","Strong understanding of Data Science. Atleast, 2 years experience building a data science product. Owning the roadmap (https://twitter.com/simplybastow/status…"
Data Scientist,torcai digital media,"Pune, Maharashtra",,"Perform Exploratory Data Analysis on large and complex data sets comprising of structured, semi-structured and unstructured data."
ANALYST-DATA SCIENCE-PYTHON,Fine Jobs,"Mumbai, Maharashtra",,Work with internal and external teams to develop models (ranging from data exploration to feature engineering and model development to validation and scoring.).
Data Science - Natural Language Processing(NLP) Internship,Shyena Tech Yarns Private Limited,"Pune, Maharashtra","₹2,000 a month",We are a data science and digital transformation company with a core objective to bring the power of data using AI and machine learning to every business.
Market/Data Research Analyst,CXOsync Pvt. Ltd.,"Vadodara, Gujarat",,"Ideal candidates will have a minimum of Bachelors in Information Technology, Computer Science and/or Marketing. Ability to read and understand English is MUST."
Data Scientist,Hookfish,"Mumbai, Maharashtra",,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc (depending on specific project requirements)."
Data Scientist,Verisk Financial,"Bengaluru, Karnataka",,"Bachelor or advanced degree in statistics, applied math, engineering, mathematics, data science, computer science,. Strong skills in R or Python;"
RA/SRA -Alternative data research analyst - Gurgaon,CRISIL Limited,India,,"Equity, Data Analyst, Research, Finance, Data. The individual will be responsible for data analysis and production of data driven custom reports and syndicated…"
Data Scientists,Indian Institute Of Information Technology & Manag...,"Thiruvananthapuram, Kerala","₹35,000 - ₹60,000 a month",Should have relevant experience in delivering world-class data science outcomes. Education:M.Tech/MSc in Computer Science or IT/MCA. Last Date to Apply is Over.
Data Science Trainer,Badatya Private Limited,"South Extn Part I, Delhi","₹50,000 - ₹1,00,000 a month","Hands-on with, Java, JavaScript, Predictive modeling and Data Analytics, Machine Learning, Python, Data Analytics, Data Management, Predictive Modeling,…"
Data Scientist,DBS Bank,India,,At least 1-5 years of industry experience in data analytics working in a big data environment or Fresh grad from reputed tier A colleges with course work on…
Data Scientist,Emerging India Group,India,,"Experience with common data science toolkits, such as R, Python etc. Data mining using state-of-the-art methods. Experience in social media analytics is a must."
Associate Technology Data Science,Webinfomart,"Hyderabad, Telangana",,"Proficient in R, Python, Data science, Algorithm-Clustering, Algorithm- Nearest Neighbor, Probability And Statistics."
Data Scientist,shezartech.com,"Mumbai, Maharashtra",,"To work on data science/data analysis/big data project,. GIT members are recruited to work on data science projects with Japanese Giants (e.g."
Trainee Clinical Data Coordinator,IQVIA Pvt Ltd,"Mumbai, Maharashtra",,"IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients."
Data Scientist,Digital Workforce,"Bengaluru, Karnataka",,"Hands on experience in Python/Spark for data crunching, data visualization and machine. Will answer business-related questions through exploratory data analyses…"
Data Science Internship,Atlan,"New Delhi, Delhi",,"From satellite data to government reports, from structured, internal data to unstructured, external data, and from online PDFs to paper surveys, our Data…"
Data Science Internship,DUIT Technologies,"Delhi, Delhi","₹5,000 a month","Design, build and refine our data and analytics infrastructure, scaling to Terrabytes of data 2. Develop complex and efficient functions to transform raw data…"
Data Science modelers,Infosys,,,"Role Designation- Lead Analyst - Data Science. Formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and…"
Data Scientist (Data Science),BOEING,,,Develop data visualization technique and implement data dashboards to enable interpretable representation of raw data as well as results of analysis.
Data Scientist TV Media,Procter & Gamble,,,"Evaluate available data sources including data from industry tools, panels and internal systems, and propose strategic acquisition or crafting of new data…"
Data Science modelers,Infosys,,,"Role Designation- Lead Analyst - Data Science. Formulate mathematical approaches and gather data to solve those problems, develop, analyze/draw conclusions and…"
Data Scientist (Data Science),BOEING,,,Develop data visualization technique and implement data dashboards to enable interpretable representation of raw data as well as results of analysis.
"Associate/Sr Associate, GBS - Global QC Stability Data Analy...",Apotex Research Private Limited,"Mumbai, Maharashtra",,Review Stability data from third party affiliates for compliance. Provide required stability data to customers for their product compliance files.
Data Analyst (Reporting & Visualization),FLEXILOANS TECHNOLOGIES,"Mumbai, Maharashtra",,You will be a part of the Data Science team. - Data mining within the organization as well as enrich data from 3rd party databases.
SSE – Big Data-ETL,SMARTe Inc,"Vashi, Navi Mumbai, Maharashtra",,"Good to have knowledge of Data integration, Data modeling, Data lake, Data warehouse, Data Marts. Solid foundation in computer science fundamentals from data…"
Centralized Monitor,IQVIA,"Thane, Maharashtra",,IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients.
